,keff,keff_err,p
920,0.998795,4.32358e-05,-0.392
921,0.998645,4.25887e-05,-0.458
922,1.00008,4.25592e-05,0.111
923,1.00019,4.18089e-05,0.238
924,0.999039,4.22221e-05,-0.297
925,1.00022,4.34571e-05,0.178
926,1.00006,4.22464e-05,0.137
927,1.00052,4.29151e-05,0.364
928,1.00078,4.36086e-05,0.493
929,1.00048,4.25258e-05,0.36
930,1.00061,4.3122e-05,0.381
931,0.99983,4.30278e-05,-0.009
932,0.99992,4.24719e-05,0.033
933,1.00014,4.29517e-05,0.207
934,0.998718,4.24798e-05,-0.452
935,0.999909,4.31282e-05,0.042
936,0.999747,4.31708e-05,-0.043
937,0.999112,4.24392e-05,-0.288
938,1.0001,4.30825e-05,0.172
939,0.999249,4.35013e-05,-0.21
940,1.00044,4.28074e-05,0.314
941,1.00027,4.35043e-05,0.26
942,0.999773,4.31515e-05,-0.016
943,0.998911,4.3255e-05,-0.355
944,0.999093,4.28522e-05,-0.31
945,1.00068,4.23341e-05,0.484
946,1.00008,4.23814e-05,0.161
947,0.999096,4.28317e-05,-0.307
948,0.999309,4.24952e-05,-0.218
949,0.99978,4.26417e-05,-0.031
950,1.0002,4.25393e-05,0.197
951,1.00049,4.33203e-05,0.32
952,0.999877,4.30532e-05,0.027
953,0.999504,4.19341e-05,-0.134
954,1.00041,4.35157e-05,0.285
955,0.999383,4.37357e-05,-0.199
956,0.998933,4.29985e-05,-0.345
957,0.998778,4.28448e-05,-0.435
958,1.00008,4.21529e-05,0.142
959,0.999533,4.38186e-05,-0.114
960,0.999386,4.2406e-05,-0.158
961,0.999255,4.30549e-05,-0.207
962,0.999391,4.27753e-05,-0.201
963,1.00025,4.32001e-05,0.199
964,1.00048,4.27805e-05,0.371
965,1.00051,4.31996e-05,0.355
966,1.00004,4.26738e-05,0.121
967,0.999898,4.31902e-05,0.085
968,1.00028,4.25203e-05,0.261
969,0.999477,4.30585e-05,-0.152
970,1.00022,4.25631e-05,0.225
971,0.999693,4.3343e-05,-0.069
972,0.999842,4.24711e-05,0.026
973,0.998964,4.25804e-05,-0.375
974,1.00063,4.26673e-05,0.413
975,1.00014,4.31384e-05,0.168
976,1.00083,4.30055e-05,0.47
977,0.999437,4.36333e-05,-0.179
978,0.998859,4.31234e-05,-0.382
979,0.999855,4.31108e-05,0.043
980,0.999298,4.35255e-05,-0.206
981,0.998542,4.26384e-05,-0.496
982,1.00039,4.33599e-05,0.269
983,0.999633,4.31616e-05,-0.079
984,1.00047,4.33969e-05,0.336
985,0.999297,4.28441e-05,-0.247
986,0.999545,4.35147e-05,-0.092
987,1.00022,4.29069e-05,0.202
988,1.00078,4.29475e-05,0.492
989,1.00069,4.27623e-05,0.462
990,1.00051,4.3633e-05,0.394
991,1.00081,4.29296e-05,0.458
992,1.00008,4.24618e-05,0.169
993,0.998758,4.24044e-05,-0.443
994,0.999971,4.31361e-05,0.069
995,1.00003,4.2878e-05,0.148
996,1.00043,4.28528e-05,0.301
997,0.999534,4.35772e-05,-0.119
998,0.998583,4.26203e-05,-0.486
999,0.999143,4.29904e-05,-0.289
1000,1.00058,4.3128e-05,0.395
